r_id,r_date,age,campus,class,ethnicity,gender,housing,housing_actual,status,vet,worker,drive,license,mode,mode_cat,camp_camp,camp_cat,park_campus_week,park_campus_days,tocamp_week,travel_time,travel_distance,main_route,region,informed,email_freq,email_read,email_subject,email_rules,rule_not_read,parking_ed,zip,x,y,park_pref,park_pref_2,park_permit,permit_type,permit_type_2,no_permit_why,no_permit,goldvgreen,greenvgold,lots_campus,park_where,park_awarness,park_avalible,park_first_choice,drive_res_class,drive_res_class_days,res_park,res_park2,mills_campus_peak,park_pref_peak,bv_campus_peak,centeral_camp_peak,lot_full,circle_time,comments,rate_overall_group,rate_overall,rate_maintenance,rate_online,rate_staff,rate_officers,rate_lot_safety,rate_clean,reason_no_vehicle,why_no_license,drop_off,rideshare_camp
36,3/18/2024,21,Main,Senior,Multi-racial,Female,On,Falls Hall,Full-time,,Student Wage Worker,Yes,,,,Walk,Walk,7 days,7,,,,,,Email,Less than I would like,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Bobcat Shuttle -  I did not want to ride the bus to my vehicle,,,,,,No,,Blanco Garage (Lot 303),,,,,,Circle until a space becomes available,Over an hour,"Blanco garage should be turned into a multi level garage with more than 2 levels. It services both Blanco AND falls AND sayers

AdditiOnal solutiOn: have students pick the parking garage they will park in M-F 8am-5pm. For example, when buying the pass allow them to pick the garage and have card scanners like you do in Edward Gary. This way people can get their preferred parking to at least will know where they can park.",Detractor,2,Extremely dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,,,,
37,3/18/2024,31,Main,Masters,Intrnl,Male,Off,Off-Campus,Full-time,,GA,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,5 days,5,,0,0,Aquarena Springs,Region #6,Email,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Might or might not,78666,583,556,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street",Yes,,,,,,,Speck Garage (C13),Closest to class,Bobcat Stadium (P10W),"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,Circle until a space becomes available,15 to 30 minutes,,Detractor,3,Neither satisfied nor dissatisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,,
38,3/18/2024,18,Main,Freshman,Multi-racial,Female,On,Blanco Hall,Full-time,Veteran,,Yes,,,,Drive,Drive,5 days,5,,,,,,TXST App,Less than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,Yes,4-6 times a week,Other Green Residential Parking,Other Green Residential Parking,,,,,Circle until a space becomes available,15 to 30 minutes,I feel like yall need to make more parking spots we pay to much mOney for a parking pass if we can’t even park our car. Yall make enough mOney for different things yall fix but can’t make enough space for parking and most of the time when people park in green parking by dorm halls they dOn’t even have a pass so it makes it even harder.,Detractor,3,Somewhat dissatisfied,Somewhat easy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
39,3/18/2024,22,Main,Senior,Unknown,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,3 days,3,,0,0,Hopkins,Region #6,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too confusing,Probably not,78666,627,550,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour),Downtown or On the Square","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP, Edward Gary PTP, Downtown or On the Square",Yes,,,,,,,"Other, please specify:",Lot most likely to have available spaces,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,Improve parking for commuters and have more garage parking for free and for commuters,Detractor,3,Somewhat satisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
40,3/18/2024,24,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Part-time,,,Yes,,"Drive, Bobcat Shuttle, Uber/Lyft","Drive, Alternative, Alternative",Walk,Walk,2 days,2,,30,20,Aquarena Springs,,Email,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78745,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,Bobcat Stadium East Lot (P10E),Lot most likely to have available spaces,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,More commuter parking with more variety not limited to perimeter,Detractor,5,Somewhat satisfied,Somewhat easy,Somewhat satisfied,Extremely satisfied,Extremely satisfied,Somewhat satisfied,,,Stadium,
41,3/18/2024,25,Main,Junior,Hisp,Male,Off,Off-Campus,Full-time,Veteran,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,4 days,4,,15,5,Aquarena Springs,,Text Message,About right,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,78666,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,,Lot most likely to have available spaces,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Mill St (P12),Mill St (P12),,,,,,,,,Park in a Pay-to-Park garage,,Do not outsource university parking to a third party.,Detractor,3,Neither satisfied nor dissatisfied,Neither easy nor difficult,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
42,3/18/2024,20,Main,Sophomore,Hisp,Male,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,Walk,Active,Walk,Walk,2 days,2,,0,0,,,Email,Less than I would like,Always,,No: I have read nOne of the Rules and RegulatiOns,I already know what I need to know,Probably not,77471,,,"A university lot or garage - without the correct parking permit,Other, please specify:","A university lot or garage - without the correct parking permit, Other,",No,,,"Other,",,,,,,,,,,,,,,,,,,,Please let students park in any lot after 5pm regardless of having a permit or not. We have to drive to the library or more specifically the school of music to practice.,Detractor,4,Extremely satisfied,Extremely easy,Somewhat dissatisfied,Somewhat dissatisfied,Extremely satisfied,Extremely satisfied,,,,
43,3/18/2024,27,Main,Masters,Intrnl,Female,Off,Off-Campus,Full-time,,GA,Yes,,"Drive, Bobcat Shuttle, Drop off","Drive, Alternative, Alternative",Walk,Walk,3 days,3,,30,10,Wonder World,Region #6,Email,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Probably yes,,594,573,Free parking On a city or neighborhood street,Free parking on a city or neighborhood street,No,,,"Permit cost is too high, Available parking is incOnvenient for me",Permit cost is too high,,,,,,,,,,,,,,,,,,The cost is really high. Compared to prices at UT to get a normal in campus parking,Detractor,1,Extremely dissatisfied,,,,,Extremely dissatisfied,,,FCS,
44,3/18/2024,21,Main,Senior,Unknown,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Bobcat Shuttle,Bobcat Shuttle,5 days,5,,0,0,Aquarena Springs,,Text Message,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,78640,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,No,,,Purchase temporary permits as needed,,,,,,,,,,,,,,,,,,,,Passive,7,Somewhat satisfied,Somewhat easy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,,
45,3/18/2024,19,Main,Sophomore,White Non-Hisp,Female,On,Sayers Hall,Full-time,,,Yes,,,,"Bobcat Shuttle,Walk","Bobcat Shuttle, Walk",7 days,7,,,,,,Email,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,,,,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,Other, please specify:","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, Other,",Yes,Gold Mill Street/Residence Hall Permit (less expensive),Gold,,,Price,,,,,,,,,,,No,,,,"Other, please specify:",,"I have gotten 3 tickets this year because I’ve woken up a little late to move my car On MOnday morning, but I have to work 16 hours Saturday and 16 hours Sunday. As you could imagine I’m pretty tired On MOnday morning, and I wish there was a little more grace because I’m doing my best.",Detractor,1,Neither satisfied nor dissatisfied,Somewhat easy,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
46,3/18/2024,18,Main,Sophomore,White Non-Hisp,Female,bv,Bobcat Village Apartments,Full-time,,,Yes,,,,"Drive,Bobcat Shuttle,Walk","Drive, Bobcat Shuttle, Walk",5 days,5,,,,,,Email,About right,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,,,,,,,,,,,,Yes,A red or green university lot or garage,Circle until a space becomes available,5 to 15 minutes,Students with a silver pass have 0 optiOns for parking until 5:00 unless they are willing to pay or park really far from where they need to go. We need somewhere for students to park during the day so that we dOn’t have to leave 50 minutes early for the shuttle.,Detractor,0,Neither satisfied nor dissatisfied,Neither easy nor difficult,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
47,3/18/2024,38,Main,Doctoral,White Non-Hisp,Female,Off,Off-Campus,Part-time,,,Yes,,Drive,Drive,Walk,Walk,1 day,1,,30,10,N. LBJ Dr. at Sessom Dr.,,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78610,,,A university lot or garage - without the correct parking permit,A university lot or garage - without the correct parking permit,No,,,"Permit cost is too high, Other,",Permit cost is too high,,,,,,,,,,,,,,,,,,"There should be a part time student parking pass. If I Only park On campus One evening a week, for Only a few weeks a semester, there should be a pass that reflects that.",Detractor,6,Somewhat satisfied,Somewhat easy,Extremely satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,Extremely satisfied,,,,
48,3/18/2024,18,Main,Freshman,Hisp,Female,On,Blanco Hall,Full-time,,,Yes,,,,Walk,Walk,3 days,3,,,,,,Text Message,About right,Never,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too confusing,Definitely yes,,,,"A university lot or garage - with the correct parking permit,I never drive to campus - I Only drive my car for nOn-university uses","A university lot or garage - with the correct parking permit, Do not drive to campus",,,,,,,,,,,,,,,,,,,,,,,"well with the high price of a parking permit, we should have more parking spaces.",,,,,,,,,,,,
49,3/18/2024,22,Main,Senior,Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,4 days,4,,30,30,Hopkins,,Email,More than I would like,Sometimes,Never,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78664,,,Free parking On a city or neighborhood street,Free parking on a city or neighborhood street,No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Permit cost is too high,,,,,,,,,,,,,,,,,,I dOn't know what you can do to improve the situatiOn perhaps make more garages available or amplify the Ones that are already there but every year the cost goes up and I dOn't find it cOnvenient to buy a pass when I can park On the free spots in the city and still end up walking less to get to class.,Detractor,0,Somewhat dissatisfied,Neither easy nor difficult,Extremely dissatisfied,Extremely dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
50,3/18/2024,22,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Full-time,,UGA,Yes,,"Drive, Drop off","Drive, Alternative",Walk,Walk,4 days,4,,0,0,Other,,Text Message,More than I would like,Never,Never,Yes: I have read all of the Rules and RegulatiOns,,Definitely not,78666,,,"A university lot or garage - without the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour),First available spot, regardless of restrictiOns","A university lot or garage - without the correct parking permit, LBJ PTP, First available spot, Free parking on a city or neighborhood street",No,,,"Permit cost is too high, Do not believe there is available parking",Permit cost is too high,,,,,,,,,,,,,,,,,,,Detractor,0,Extremely dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
51,3/18/2024,22,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Part-time,,,Yes,,Drive,Drive,Drive,Drive,4 days,4,,30,20,Hopkins,,Email,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78123,,,Accessible Parking,Accessible Parking,Yes,,,,,,,Mill Street Lot (P12),Closest to class,,,,,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,,Detractor,0,Extremely dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
52,3/18/2024,20,Main,Junior,Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,No,No,"Bobcat Shuttle, Drop off","Alternative, Alternative","Walk,Catch a ride / Carpool","Walk, Catch a ride / Carpool",,,,15,5,,,Text Message,Less than I would like,Most of the time,,No: I have read nOne of the Rules and RegulatiOns,Not interested,Probably yes,78666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have not had the time to get a license,Tower parking garage,
53,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Falls Hall,Full-time,,,Yes,,,,Walk,Walk,6 days,6,,,,,,Email,More than I would like,Always,,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Probably not,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Blanco Garage (Lot 303),,,,,,Circle until a space becomes available,30 to 60 minutes,Have more parking spaces. Having to drive for over an hour to find a spot On campus is ridiculous. Start ticketing the poor drivers who do not k ow how to park or who double park. The parking garages are always littered with trash and I can barely see the yellow lines of the parking spaces and makes parking extremely difficult when it doesn’t need to be.,Detractor,1,Extremely dissatisfied,Somewhat difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
